address,pools,tier,smart,bot,edge,large,targetT,targetLarge,avgNotional,copyROI,copyT,targetCopyROI,targetCopyT,shares,maxShares,markets,categories,top,score_sources,risk
0x6d20c35f65d9899b6d6b74f8466e824580f9a165,sports_holders_push,D,100.0,48.1,100.0,306,1292,244,1120,129.1,1,129.1,1,1180348,663902,2,"basketball:1,soccer:1",NBA Summer League: Utah Jazz vs. LA Clippers,"holder,leaderboard_profit_7d,leaderboard_volume_7d","bot_like_flow,burst_trading,open_copy_exposure"
0x3fd9a838ded6eb832baab3ccbcb5e934e3871ef0,sports_holders_push,D,100.0,52.8,100.0,227,122,42,599,0.0,0,0.0,0,1060243,700000,2,soccer:2,France vs. Spain: Team to Advance,"holder,leaderboard_profit_7d","bot_like_flow,burst_trading,open_copy_exposure"
0x7bc14171ccb0d3e6bac219ec6a76211826e28db4,sports_holders_push,BOT,43.5,100.0,65.9,157,783,26,718,-42.3,10,-0.0,2,1016054,155962,15,basketball:15,Will LeBron James play for the Milwaukee Bucks in 2026-27?,existing,"bot_like_flow,fixed_amount,fixed_price,extreme_price_heavy,burst_trading,opposite_side_same_market,negative_copy_sim,open_copy_exposure"
0x85f031d069de300055900c4055c1baeb6bde3f67,sports_holders_push,D,100.0,55.5,100.0,228,1353,209,310,0.0,0,0.0,0,905626,849757,3,soccer:3,Will France win on 2026-07-14?,"existing,holder","bot_like_flow,fixed_price,burst_trading,open_copy_exposure"
0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,sports_holders_push,BOT,95.9,83.8,100.0,576,1271,514,2236,0.0,0,0.0,0,439059,427330,2,"basketball:1,soccer:1",NBA Summer League: Utah Jazz vs. LA Clippers,"holder,leaderboard_profit_30d,leaderboard_profit_all,leaderboard_volume_30d,leaderboard_volume_7d,leaderboard_volume_all","bot_like_flow,fixed_price,extreme_price_heavy,burst_trading,open_copy_exposure"
0xd49f5853b265bb1c30f25d60d891f7f1749a4507,sports_holders_push,BOT,100.0,61.8,100.0,417,180,60,1731,148.7,15,146.1,3,573333,573333,1,soccer:1,France vs. Spain: Team to Advance,"holder,leaderboard_volume_7d","bot_like_flow,burst_trading,opposite_side_same_market,open_copy_exposure"
0x011f2d377e56119fb09196dffb0948ae55711122,sports_holders_push,BOT,100.0,93.4,100.0,68,1069,47,19,18.1,6,20.0,5,868673,108548,32,basketball:32,Will LeBron James play for the Denver Nuggets in 2026-27?,existing,"bot_like_flow,fixed_amount,extreme_price_heavy,burst_trading,opposite_side_same_market,open_copy_exposure"
0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6,sports_holders_push,BOT,96.6,85.0,100.0,91,181,14,29,-5.7,23,-1.5,3,842035,121191,107,"basketball:27,esports:15,soccer:65",France vs. Spain: Team to Advance,"existing,holder,leaderboard_volume_30d,leaderboard_volume_7d,leaderboard_volume_all,sports_tape","bot_like_flow,burst_trading,opposite_side_same_market,negative_copy_sim,open_copy_exposure"
0xe4fc1041edb5c205e449fb6a5967e9db24418af7,sports_holders_push,D,85.3,58.0,88.5,878,1001,593,170,-1.2,83,-1.4,57,36000,12000,3,soccer:3,Will France win on 2026-07-14?,holder,"bot_like_flow,burst_trading,opposite_side_same_market,negative_copy_sim"
0x69aa9fa621403e3a121b29ad77d32ba9eb5e8847,sports_holders_push,BOT,64.2,90.8,76.8,648,118,74,3106,-2.5,24,-21.2,4,187218,187218,1,basketball:1,Will LeBron James play for the Los Angeles Lakers in 2026-27?,existing,"bot_like_flow,extreme_price_heavy,burst_trading,opposite_side_same_market,negative_copy_sim,open_copy_exposure"
